ten_dn,ten_chi_nhanh,dia_chi,trang_thai,khu_vuc
Spicy Box,Spicy Box - Chi nhánh 14,"1S23+24 TTTM Go! Đồng Nai số 833, đường Xa Lộ Hà Nội, Phường Long Hưng, Đồng Nai",Dang hoat dong,
Spicy Box,Spicy Box - Chi nhánh 15,"L3-5-6 Vincom Plaza, 444 đường 30/4, Khu Phố 1, Tây Ninh",Dang hoat dong,
Spicy Box,Spicy Box - Chi nhánh 16,"L3-03 Tầng L3 Vincom Plaza Tân An, Góc đường Hùng Vương và đường Mai Thị Tốt, Phường 2, Tân An, Long An",Dang hoat dong,
Spicy Box,Spicy Box - Chi nhánh 17,"L1-02 Lầu 1, Số 1 Đường Ngô Thời Nhậm, Phường Cao Lãnh, Đồng Tháp",Dang hoat dong,
Spicy Box,Spicy Box - Chi nhánh 18,"GF-12 Tầng trệt TTTM Coop.Mart Long Xuyên, số 12 Nguyễn Huệ, P. Mỹ Long, Long Xuyên, An Giang",Dang hoat dong,
Spicy Box,Spicy Box - Chi nhánh 19,"GF-08+09 Tầng trệt Coop.Mart Châu Đốc, Tổ 21, Khóm Châu Quới 3, Phường Châu Phú B, Châu Đốc, An Giang",Dang hoat dong,
Spicy Box,Spicy Box - Chi nhánh 20,"Lầu 3, TTTM Vincom Plaza Hậu Giang, 1 đường 3/2, Phường 5, Vị Thanh, Hậu Giang",Dang hoat dong,
Spicy Box,Spicy Box - Chi nhánh 21,"L1-12 Sense City Cà Mau, 9 Trần Hưng Đạo, Phường 5, Cà Mau",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 1,"Chân chung cư ICID Complex, Cổng số 1, Khu C, Geleximco Lê Trọng Tấn, Dương nội, Quận Hà Đông, Hà Nội",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 2,"Xóm Đồng Mạc, Thôn Đa Phúc, Xã Sài Sơn, Huyện Quốc Oai, Hà Nội",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 3,"212 Nguyễn Lương Bằng, Phường Quang Trung, Quận Đống Đa, Hà Nội",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 4,"Số 114 Chùa Láng, P. Láng Thượng, Quận Đống Đa, Hà Nội",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 5,"27 Bạch Mai, Quận Hai Bà Trưng, Hà Nội",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 6,"291 Trần Đại Nghĩa, P. Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 7,"77 Nguyễn Nhàn, P Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 8,"Số 4 Ngô Thì Nhậm, Phường Hòa Hương, Tam Kỳ, Quảng Nam",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 9,"163 Nguyễn Văn Linh, P.Thạc Gián, Quận Thanh Khê, Đà Nẵng",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 10,"70 Xô Viết Nghệ Tĩnh, P. Hoà Cường Nam, Quận Hải Châu, Đà Nẵng",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 11,"423 Lê Lợi, P. Ngô Quyền, Thành phố Hải Phòng, Hải Phòng",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 12,"212 Trưng Trắc, P. Trưng Trắc, Phúc Yên, Vĩnh Phúc",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 13,"Quảng trường Xuân Hòa, Đường Nguyễn Văn Linh, Phường Xuân Hòa, Phúc Yên, Vĩnh Phúc",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 14,"Khu đô thị mới phía Nam, xã Hiệp Hoà, Bắc Ninh",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 15,"Đường Âu Cơ, Thị trấn Hồ, Thuận Thành, Bắc Ninh",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 16,"Phố Cao Sơn, KĐT Minh Phương, P. Minh Phương, Việt Trì, Phú Thọ",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 17,"32 Minh Khai, Phường Minh Khai, Hà Giang",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 18,"D8 Tuyên Quang, P. Phú Thủy, Phan Thiết, Bình Thuận",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 19,"Số 124 tổ 15 khu 5B Quang Trung, Uông Bí, Quảng Ninh",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 20,"55 Võ Nguyên Giáp, P. Hồng Hải, Hạ Long, Quảng Ninh",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 21,"PĐ2.KT-01 K-Town, Vinhomes Ocean Park 2, Văn Giang, Hưng Yên",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 22,"Số nhà 5B, Phố Lưu Phương, Huyện Kim Sơn, Ninh Bình",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 23,"TTTM Shophouse Vạn Xuân, Đường Lam Sơn, Thị trấn Thọ Xuân, Thanh Hoá",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 24,"Số 19 Phan Đình Giót, Phường Nam Hà, Hà Tĩnh",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 25,"Số 5 Lê Duẩn, P. 2, Thành phố Đông Hà, Quảng Trị",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 26,"Quảng trường Đắk Mil, Huyện Đắk Mil, Đắk Nông",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 27,"69 Hai Bà Trưng, P. 1, Thị Xã Quảng Trị, Quảng Trị",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 28,"32 Nguyễn Tất Thành, xã Lệ Thuỷ, Quảng Trị",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 29,"196a Phan Đình Phùng, Chánh Lộ, Quảng Ngãi",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 30,"18 Võ Thị Sáu, P. Diên Hồng, Thành phố Pleiku, Gia Lai",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 31,"139 Phan Bội Châu, Phường Trần Hưng Đạo, Quy Nhơn, Bình Định",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 32,"31 Hai Bà Trưng, Thắng Lợi, Buôn Ma Thuột",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 33,"52 Bà Triệu, P. 4, Thành phố Đà Lạt, Lâm Đồng",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 34,"14 Nguyễn Công Trứ, Thành phố Bảo Lộc, Lâm Đồng",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 35,"Số 8, Huỳnh Tấn Phát, Mũi Né, Phan Thiết, Bình Thuận",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 36,"C04 Đường 30 Tháng 4, KP3, Trảng Bom, Đồng Nai",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 37,"199 Thích Quảng Đức, P. Xuân An, Long Khánh, Đồng Nai",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 38,"121 Lê Duẩn, P. Tân Phú, Thành phố Đồng Xoài, Bình Phước",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 39,"Đường Trần Phú, Đức Hoà, Thị trấn Đức Phong, Huyện Bù Đăng, Bình Phước",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 40,"230 Huỳnh Văn Lũy, P. Phú Lợi, Thủ Dầu Một, Bình Dương",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 41,"Số 1 Cao Bá Quát, Khu phố Đông Tân, P. Dĩ An, Dĩ An, Bình Dương",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 42,"772 Nguyễn Chí Thanh, Phường Hiệp An, Thủ Dầu Một, Bình Dương",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 43,"KDC chợ mới Gò Đen, Xã Phước Lợi, Huyện Bến Lức, Long An",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 44,"Đường Hùng Vương, Phường Phú Mỹ, Bà Rịa – Vũng Tàu",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 45,"KP Bình Giang 1, P. Sơn Giang, Phước Long, Bình Phước",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 46,"385E, ĐT 824, Khu phố 5, Thị trấn Đức Hoà, Huyện Đức Hoà, Long An",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 47,"38 DT825 Thị trấn Hậu Nghĩa, Huyện Đức Hòa, Long An",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 48,"Số nhà 751 Đường tỉnh lộ 10, ấp Bình Tiền 1 , xã Đức Hoà Hạ , Huyện Đức Hoà, Long An",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 49,"Số 720 DT824 Ấp Mới 2, Mỹ Hạnh Nam, Huyện Đức Hòa, Long An",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 50,"số 01 Lê Văn Vị, P. Cái Vồn, Thị xã Bình Minh, Vĩnh Long",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 51,"365 Đường Gò Tháp, Khóm 1, Mỹ An, Tháp Mười, Đồng Tháp",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 52,"152 Hùng Vương, P.2, Cao Lãnh, Đồng Tháp",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 53,"39 Tôn Đức Thắng, P. Mỹ Bình, Long Xuyên, An Giang",Dang hoat dong,
Chicken Plus,Chicken Plus - Chi nhánh 54,"187 Đường 30/4, Dương Đông, Phú Quốc, Kiên Giang",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 1,"Trần Nhân Tông, Bình Than, Quận Sơn Trà, Đà Nẵng",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 2,"92A Phan Chu Trinh, Quận Hải Châu, Đà Nẵng",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 3,"120 Nguyễn Thị Minh Khai, P. Hải Châu 1, Quận Hải Châu, Đà Nẵng",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 4,"568 Trưng Nữ Vương, P. Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 5,"06 Trần Hưng Đạo, P. Phú Hòa, Thừa Thiên Huế, Thành Phố Huế, Thừa Thiên Huế",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 6,"T308, Tầng 3 Trung tâm thương mại Aeon Mall Huế, Số 8 đường Võ Nguyên Giáp, Phường An Đông, Huế, Thừa Thiên Huế",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 7,"TTTM khu Quy hoạch Bà Triệu - Hùng Vương, P. Phú Hội, Thừa Thiên Huế, Thành Phố Huế, Thừa Thiên Huế",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 8,"317 Trần Thành Ngọ, Quận Kiến An, Hải Phòng",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 9,"Lô 1/20 KĐT ngã 5, Sân bay Cát Bi, Quận Ngô Quyền, Hải Phòng",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 10,"88 Trần Phú, Quận Ngô Quyền, Hải Phòng",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 11,"Số 2 Phạm Minh Đức, Phường Máy Tơ, Quận Ngô Quyền, Hải Phòng",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 12,"118 - 120 Trần Nguyên Hãn, Quận Lê Trân, Hải Phòng",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 13,"207C Lạch Tray, Quận Ngô Quyền, Hải Phòng",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 14,"Lô 01, KDC Hưng Phú 1, P. Hưng Phú, Quận Cái Răng, Cần Thơ",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 15,"Lô 1F11, Lottemart, số 84 Mậu Thân, Phường An Hòa, Quận Ninh Kiều, Cần Thơ",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 16,"170 Nguyễn Văn Cừ, P. An Khánh, Quận Ninh Kiều, Cần Thơ",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 17,"Soiva Plaza Me Linh, Quận Khai Hoang, Vĩnh Yên, Vĩnh Phúc",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 18,"TTTM Vincom Plaza, Đường Cù Chính Lan, Đồng Tiến, Hoà Bình",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 19,"Tầng 3, Vincom Bắc Kan, Số 8A Đức Xuân, Bắc Kạn",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 20,"Ngã 6, Plot 26, Khu 13, P. Kim Tân, Lào Cai, Lào Cai",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 21,"Đường Cầu Kì Lừa, P. Chi Lăng, Lạng Sơn, Lạng Sơn",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 22,"Tầng 1 TTTM Big C Bắc Giang, ngã 4 Hùng Vương kéo dài, xã Tân Tiến, Bắc Giang, Bắc Giang",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 23,"TTTM Big C Việt Trì, Nguyễn Tất Thành, P. Thanh Miếu, Việt Trì, Phú Thọ",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 24,"Lầu 3, Vincom Sơn La, Trường Chinh, P. Quyết Thắng, Sơn La, Sơn La",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 25,"TTTM Thiên Trường, Quận Lộc Hòa, Nam Định",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 26,"02 Hồng Quang, P. Quang Trung, Hải Dương",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 27,"02 Trần Khánh Dư, P. Cẩm Đông, Cẩm Phả, Quảng Ninh",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 28,"TTTM Big C, Cột 5, P. Hồng Hải, Hạ Long, Quảng Ninh",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 29,"TTTM Vincom Hạ Long, P. Bạch Đằng, Hạ Long, Quảng Ninh",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 30,"160 Lê Thánh Tôn, Hạ Long, Quảng Ninh",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 31,"TTTM Big C Ninh Bình, Trần Nhân Tông, Xã Ninh Phúc, Ninh Bình",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 32,"Số 342-346 Trần Hưng Đạo, P. Cửa Bắc, Thành phố Nam Định, Nam Định",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 33,"TTTM Vincom Plaza Thanh Hóa, Phường Trần Phú, Thanh Hóa",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 34,"Tầng 1 Big C Thanh Hóa, Xã Đông Hải, Thanh Hóa",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 35,"87A Nguyễn Văn Cừ, Khối 2, Phường Trường Thi, Vinh, Nghệ An",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 36,"TTTM Big C Vinh, 02 Quang Trung, Vinh, Nghệ An",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 37,"Tầng 3-16, Lotte Mart Vinh, 295 đường V.I Lê Ninh, P. Hà Huy Tập, Vinh, Nghệ An",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 38,"74 Trần Phú, P. Bắc Hà, Hà Tĩnh",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 39,"Số 1 Hùng Vương, Phường Cẩm Phô, Hội An, Quảng Nam",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 40,"Cổng Nam TTTM Go! Đường Lý Thường Kiệt, Nghĩa Chánh, Quảng Ngãi",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 41,"117B Đại lộ Hùng Vương, Trần Hưng Đạo, Quảng Ngãi",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 42,"01 Phan Bội Châu, P. Hội Thương, Pleiku, Gia Lai",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 43,"02 - 2A Nguyễn Thái Học, Quy Nhơn, Bình Định",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 44,"KĐT xanh Vũng Chua, P. Ghềnh Ráng, Quy Nhơn, Bình Định",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 45,"178 Y Jut, Thắng Lợi, Buôn Ma Thuột, Đắk Lắk",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 46,"Lô 04, đường 19/5, KĐT Vĩnh Điềm Trung, xã Vĩnh Hiệp, Nha Trang, Khánh Hòa",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 47,"2038 Hùng Vương, P. Cam Lộc, Cam Ranh, Khánh Hòa",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 48,"73 Thống Nhất, Nha Trang, Khánh Hòa",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 49,"2+2/1 Nguyễn Đình Chiểu, P. Vĩnh Phước, Nha Trang, Khánh Hòa",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 50,"CTXD số SB.D-70, Dự án Công viên văn hóa Vinwonders Nha Trang, Đảo Hòn Tre, P. Vĩnh Nguyên, Nha Trang, Khánh Hòa",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 51,"133 Bà Triệu, P. Thắng Lợi, Kon Tum, Kon Tum",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 52,"Tầng trệt, Tháp nước, Trần Phú, P. 2, Bảo Lộc, Lâm Đồng",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 53,"285 Bùi Thị Xuân, P. 8, Đà Lạt, Lâm Đồng",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 54,"01 Nguyễn Thị Minh Khai, P. 01, Đà Lạt, Lâm Đồng",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 55,"Quảng Trường Lâm Viên, góc đường Hồ Tùng Mậu - Trần Quốc Thảo, P. 10, Đà Lạt, Lâm Đồng",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 56,"62 Thủ Khoa Huân, KP. 1, P. Bình Hưng, Phan Thiết, Bình Thuận",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 57,"KDC Hùng Vương 1, P. Phú Thủy, Phan Thiết, Bình Thuận",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 58,"1A Nguyễn Tất Thành, P. Bình Hưng, Phan Thiết, Bình Thuận",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 59,"198 Hùng Vương, P. Xuân Bình, Thị xã Long Khánh, Đồng Nai",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 60,"03 Phan Chu Trinh, P. Quang Vinh, Biên Hòa, Đồng Nai",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 61,"Lô B-03, KTM Amata, Quốc lộ 1A, P. Long Bình, Biên Hòa, Đồng Nai",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 62,"F230-F231 Võ Thị Sáu, Phường Thống Nhất, Biên Hòa, Đồng Nai",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 63,"Siêu Thị Hoàng Đức Gia Kiệm - 166 ấp Bạch Lâm 1, xã Gia Tân 2, Huyện Thống Nhất, Đồng Nai",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 64,"Quốc Lộ 51, KP 1, P. Long Bình Tân, Biên Hòa, Đồng Nai",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 65,"TTTM Chợ Thanh Hà, Trần Phú, P. Phủ Hòa, Phan Rang - Tháp Chàm, Ninh Thuận",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 66,"555B đại lộ Bình Dương, P. Hiệp Bình, Thị xã Thủ Dầu Một, Bình Dương",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 67,"01 Trần Hưng Đạo, P. Phú Cường, Thị xã Thủ Dầu Một, Bình Dương",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 68,"368 đường 30/4 P. Chánh Nghĩa, Thị xã Thủ Dầu Một, Bình Dương",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 69,"TTTM Green Square, P. Đông Hòa, Thị xã Dĩ An, Bình Dương",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 70,"231 Yersin, P. Hiệp Thành, Thị xã Thủ Dầu Một, Bình Dương",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 71,"TTMS Aeon - Bình Dương Canary, 1 Đại Lộ Bình Dương, KP. Bình Giao, P. Thuận Giao, Thị xã Thuận An, Bình Dương",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 72,"KĐT The Seasons Bình Dương, P. Lái Thiêu, Thị xã Thuận An, Bình Dương",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 73,"Tầng trệt, KP. Lộc An, Thị trấn Trảng Bàng, Huyện Trảng Bàng, Tây Ninh",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 74,"576 Cách Mạng Tháng Tám, Phường 3, Tây Ninh",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 75,"09 Hạ Long, P. 2, Vũng Tàu, Bà Rịa - Vũng Tàu",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 76,"227 Nam Kỳ Khởi Nghĩa - 378 Lê Hồng Phong, P. 03, Vũng Tàu, Bà Rịa - Vũng Tàu",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 77,"Tầng 1, Góc đường 3/2 - Thi Sách, P. 8, Vũng Tàu, Bà Rịa - Vũng Tàu",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 78,"Shop GF-01, Ấp Thanh Ba, Xã Mỹ Lộc, Thị trấn Cần Giuộc, Huyện Cần Giuộc, Long An",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 79,"15 Trương Định - 11 Phan Đình Phùng, KP. 01, P. 1, Thị xã Gò Công, Tiền Giang",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 80,"545 Lê Văn Phẩm, P. 5, Mỹ Tho, Tiền Giang",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 81,"34 Ngô Quyền, P. 1, Mỹ Tho, Tiền Giang",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 82,"Go Mart Trà Vinh, Đường Võ Nguyên Giáp, P. 7, Trà Vinh",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 83,"65 Nguyễn Huệ, P. 01, Cao Lãnh, Đồng Tháp",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 84,"Tầng trệt, Nguyễn Sinh Sắc, khóm 2, P. 2, Sa Đéc, Đồng Tháp",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 85,"01 Ngô Thời Nhậm, P. 1, Cao Lãnh, Đồng Tháp",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 86,"92 Nguyễn Trãi, P. Mỹ Long, Long Xuyên, An Giang",Dang hoat dong,
Lotteria,Lotteria - Chi nhánh 87,"29 Trần Hưng Đạo, P. 5, Cà Mau, Cà Mau",Dang hoat dong,
Beard Papas HCM,Beard Papas HCM - Chi nhánh 1,"161 Xa Lộ Hà Nội, P. Thảo Điền, Quận 2, Hồ Chí Minh",Dang hoat dong,
Beard Papas HCM,Beard Papas HCM - Chi nhánh 2,"88 Song Hành, P. An Phú, Quận 2, Hồ Chí Minh",Dang hoat dong,
Beard Papas HCM,Beard Papas HCM - Chi nhánh 3,"121 Nguyễn Đức Cảnh, P. Tân Phong, Quận 7, Hồ Chí Minh",Dang hoat dong,
Beard Papas HCM,Beard Papas HCM - Chi nhánh 4,"L4-K5, Tầng 4, Vincom Plaza Phan Văn Trị, 12 Phan Văn Trị, Quận Gò Vấp, Hồ Chí Minh",Dang hoat dong,
Beard Papas HCM,Beard Papas HCM - Chi nhánh 5,"65 Lê Lợi, P. Bến Nghé, Quận 1, Hồ Chí Minh",Dang hoat dong,
Beard Papas HCM,Beard Papas HCM - Chi nhánh 6,"B3-21, Vincom Đồng Khởi, 72 Lê Thánh Tôn, P. Bến Nghé, Quận 1, Hồ Chí Minh",Dang hoat dong,
Beard Papas HCM,Beard Papas HCM - Chi nhánh 7,"1F-10-01, Tầng 1, Hùng Vương Plaza, 126 Hồng Bàng, Quận 5, Hồ Chí Minh",Dang hoat dong,
Beard Papas HCM,Beard Papas HCM - Chi nhánh 8,"60A Trường Sơn, P. 2, Quận Tân Bình, Hồ Chí Minh",Dang hoat dong,
Beard Papas HCM,Beard Papas HCM - Chi nhánh 9,"Tầng FM-19B, Vạn Hạnh Mall, 11 Sư Vạn Hạnh, Quận 10, Hồ Chí Minh",Dang hoat dong,
Hệ thống Sườn Mười,Hệ thống Sườn Mười - Chi nhánh 1,Vincom Mega Mall Royal Island Vũ Yên - Hải Phòng,Dang hoat dong,
Hệ thống Sườn Mười,Hệ thống Sườn Mười - Chi nhánh 2,"Vincom Megamall Ocean City - Văn Giang, Hưng Yên",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 1,"L4-03 thuộc Tầng 4 TTM Satra Võ Văn Kiệt, 1466 Võ Văn Kiệt, Phường 3, Quận 6, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 2,"Tầng 4, Vincom Plaza Lê Văn Việt: Số 50, Đường Lê Văn Việt, Phường Hiệp Phú, Thành phố Thủ Đức, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 3,"Tầng 1-2 Khối A1, Khu TM - DV - Căn hộ Bcons, đường Thống Nhất, Phường Đông Hòa, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 4,"L4-06, Tầng L4, Vincom Plaza 3/2, 3C đường 3 tháng 2, Phường 11, Quận 10, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 5,"Tầng trệt Mega Maket Quận 6, Bình Phú, Phường 11, Quận 6, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 6,"1F, Tầng 1 , Tòa nhà EverRich, 968 Đường 3/2, Phường 15, Quận 11, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 7,"Góc 743, Thị xã Dĩ An, Bình Dường",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 8,"Lô L4-01, Tầng 4, Central Premium 854-856 Tạ Quang Bửu, Phường 5, Quận 8, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 9,"Tầng trệt, Co.opmart Bình Dường, số 1 Phú Lợi, Phường Phú Lợi, Thành phố Thủ Dầu Một, Bình Dương",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 10,"Lầu 3, TTTM Satra Phạm Hùng, số C6/27 Phạm Hùng, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh",Dang hoat dong,
Dookki Việt Nam,Dookki Việt Nam - Chi nhánh 11,"Tầng 3 Aeon Tân Phú, 30 Bờ Bao Tân Thắng, Sơn Kỳ, Tân Phú, Hồ Chí Minh",Dang hoat dong,
